"fazenda";"talhao";"area";"matgen";"idade";"parcela";"areaparc";"nfustes";"percfalhas";"percmortas";"percquebradas";"hdom";"areabasal";"ima";"vcomcc";"vcomsc";"vtsc";"vtcc"
1;24;14,09;9;5,15;297;400;1275;1,92;1,92;0;24,48;22,57;43,88;200,93;182,71;200,02;225,85
1;24;14,09;9;5,15;298;400;1250;1,96;0;0;24,88;24,32;49,07;227,29;205,18;223,69;252,58
1;30;87,76;10;4,51;300;400;950;19,57;0;0;21,2;13,54;25,03;98,57;83,21;98,18;112,88
1;30;87,76;10;4,51;301;400;925;20;0;0;20,92;13,27;24,01;92,12;80,2;94,18;108,28
1;30;87,76;10;4,51;302;400;750;36,17;2,13;0;20,48;12,17;22,55;87,93;76,52;88,46;101,7
1;32;108,45;11;4,52;305;400;1100;4,55;0;0;26;19,63;45,55;183,77;162,95;178,96;205,75
1;32;108,45;11;4,52;308;400;1200;0;0;0;22,75;20,08;42,55;170,62;142,46;167,18;192,21
1;32;108,45;11;4,52;309;400;1100;2,22;0;0;22,38;16,11;33,14;129,51;110,93;130,23;149,73
1;32;108,45;11;4,52;311;400;1175;0;0;0;22,93;17,19;36,2;141,61;123,78;142,23;163,53
1;32;108,45;11;4,52;312;400;1100;2,33;0;0;21,5;18,31;36,12;141,33;124,47;141,92;163,17
1;27;100,04;11;4,57;313;400;1325;3,85;0;0;23,1;19,37;40,48;160,46;138,55;161,07;185,18
1;27;100,04;11;4,57;314;400;1100;0;0;0;24,3;17,26;38,75;155,74;137,52;154,21;177,3
1;27;100,04;11;4,57;317;400;950;9,52;2,38;0;21,32;13,29;25,62;100,26;88,36;101,96;117,22
1;29;66,99;11;4,57;318;400;1125;4,44;0;0;26,68;20,98;50,5;208,27;184,74;200,84;230,91
1;29;66,99;11;4,57;319;400;1100;0;0;0;24,42;17,58;39,6;158,21;138,93;157,48;181,06
1;29;66,99;11;4,57;321;400;925;13,95;0;0;28,55;21,27;55,14;233,21;200,93;219,3;252,13
1;1;100,32;12;4,58;322;400;1100;2,22;0;0;20,35;17,58;32,9;130,25;116,17;130,99;150,6
1;1;100,32;12;4,58;325;400;1075;2,27;0;0;21,58;17,83;35,23;141,45;121,89;140,29;161,29
1;1;100,32;12;4,58;326;400;1075;6,52;0;0;20,73;17,43;33,92;135,23;117,37;135,06;155,28
